attention_1,attention_2,attention_3,attention_4,attention_5,attention_6,attention_7,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,israel_sentiment_1,israel_sentiment_2,israel_sentiment_3,israel_sentiment_4,israel_sentiment_5,israel_sentiment_6,letter,antisemitism_1,antisemitism_2,antisemitism_3,antisemitism_4,antisemitism_5,report_eval,man_a,man_b,man_c,man_d,apartheid,antisemitism_opened,sex,sex_3_TEXT,state,race,race_6_TEXT,ethnicity,age_1,education,religion,religion_11_TEXT,partisanship,age,gender,hhi,ethnicity,hispanic,education,political_party,region,condition 
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Disagree strongly,Agree strongly,0,0,6.516,0,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,No letter,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,No,No,No,No,apartheid,Racist against jews,Female,,Pennsylvania,White,,Not Hispanic or Latino or Spanish origin,18,Some college but no degree,Other,Quaker,Strong Democrat,18,2,1,1,1,4,1,1,1
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,16.69,16.69,23.852,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I'd like to write a letter in support of Israel,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Not very antisemitic,Yes,Yes,Yes,Yes,I can’t explain it,I can’t define this,Female,,Tennessee,White,,Not Hispanic or Latino or Spanish origin,49,Associate degree in college (2-year),Protestant,,Republican,80,2,2,1,1,4,10,3,4
Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,26.096,0,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,I'd like to write a letter in support of Israel,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very antisemitic,Yes,Yes,Yes,Yes,favoring one culture or race over others,hate for the Jewish population,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,68,Bachelor's degree in college (4-year),Roman Catholic,,"Independent, but Lean Republican",68,2,19,1,1,8,9,3,3
Somewhat Disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,5.283,5.283,6.792,1,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,No,No,No,No,I don't know,I don't know,Female,,California,White,,Not Hispanic or Latino or Spanish origin,52,Some college but no degree,Protestant,,Republican,52,2,7,1,1,4,10,4,1
Somewhat Agree,Agree strongly,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,87.013,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,No letter,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,No,No,protect people in the country they live in from being mistreated,against jewish people,Female,,New Jersey,White,,Not Hispanic or Latino or Spanish origin,68,Bachelor's degree in college (4-year),Jewish,,Democrat,68,2,17,1,1,8,2,1,7
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,17.547,29.452,30.145,4,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,No letter,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,Yes,Yes,Dont have a clue ,Dont have a clue ,Female,,North Carolina,Black or African American,,Not Hispanic or Latino or Spanish origin,60,High school graduate (high school diploma or equivalent including GED),Other,,"Independent, but Lean Republican",61,2,4,1,1,2,4,3,4
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,35.212,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No letter,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not very antisemitic,Yes,Yes,Yes,Yes,Separates race or religion ,Prejudice against Jewish people ,Female,,Minnesota,White,,Not Hispanic or Latino or Spanish origin,42,Some college but no degree,Roman Catholic,,"Independent, but Lean Republican",42,2,14,1,1,5,9,2,5
Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,4.535,12.463,20.584,2,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not very antisemitic,Yes,Yes,Yes,No,Apartheid is when one people think they are better than the other ,Prejudice against another group different from them,Female,,New Hampshire,White,,Not Hispanic or Latino or Spanish origin,63,Bachelor's degree in college (4-year),Jewish,,Strong Democrat,63,2,15,1,1,8,1,1,6
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,1.356,1.356,8.005,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,No letter,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat antisemitic,Yes,Yes,No,Yes,I’m not really sure to be honest,I’m not really sure ,Female,,Michigan,White,,Not Hispanic or Latino or Spanish origin,37,High school graduate (high school diploma or equivalent including GED),Atheist/agnostic,,Independent,36,2,14,1,1,2,3,2,2
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,19.65,0,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,No letter,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,No,No,When one race suppresses another race,When tge Jewish people are suppressed ,Female,,Oklahoma,White,,Not Hispanic or Latino or Spanish origin,66,Associate degree in college (2-year),Roman Catholic,,"Independent, but Lean Democrat",66,2,4,1,1,7,3,3,2
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,5.422,5.422,49.281,1,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not very antisemitic,Yes,Yes,Yes,Yes,I have no idea what the word means.,Against the people in power,Female,,Wisconsin,White,,Not Hispanic or Latino or Spanish origin,31,Bachelor's degree in college (4-year),Other,Christian,Independent,31,2,12,1,1,6,3,2,3
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,15.285,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,No letter,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not very antisemitic,Yes,No,No,Yes,Not sure, It sure,Male,,California,Asian or Asian American,,Not Hispanic or Latino or Spanish origin,43,Bachelor's degree in college (4-year),Roman Catholic,,Democrat,43,1,16,5,1,6,2,4,4
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Agree strongly,28.035,28.035,51.979,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Not very antisemitic,No,Yes,No,Yes,Suppression ,Religious restraint ,Female,,Wisconsin,White,,Not Hispanic or Latino or Spanish origin,66,High school graduate (high school diploma or equivalent including GED),Roman Catholic,,"Independent, but Lean Democrat",66,2,5,1,1,4,3,2,7
Agree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,2.758,29.874,30.602,2,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,I'd like to write a letter in opposition of Israel,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat antisemitic,Yes,Yes,Yes,Yes,Haha I have no clue,Hatred of the jewish people,Female,,Wisconsin,White,,Not Hispanic or Latino or Spanish origin,53,High school graduate (high school diploma or equivalent including GED),Protestant,,Republican,53,2,6,1,1,2,5,2,6
Somewhat Disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,0,0,6.402,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,Yes,No,Not applicable to me ,Not applicable to me ,Male,,Michigan,White,,Not Hispanic or Latino or Spanish origin,42,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Independent,40,1,9,1,1,2,4,2,2
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,2.237,5.857,6.702,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Not very antisemitic,No,No,No,No,I don't have any words because I really don't understand what it's about the way the economy works and who's being elected and wars do not affect me because I'm a self-made and self-employed person I get my money from the muscle whether if it's too bad or a trade or through me making things or personal services,I think that atheism is about when people don't believe in certain religions they definitely don't believe in God you know I believe in the Lord Jesus Christ I believe that God sent his only begotten son to die for our sins I'm not against anyone who's in who's an atheist I'm not I'm not I'm open to everyone's belief or their sexual genders what they want to be it's just it's not what I want to be I don't want to be a gay or lesbian and I want to watch the Jesus,Male,,Florida,Black or African American,,Not Hispanic or Latino or Spanish origin,51,High school graduate (high school diploma or equivalent including GED),Other,I am a Pentecostal Christian Church of God in Christ holiness,Independent,55,1,11,15,1,6,7,3,6
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,1,15,2,2,2,4,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,17.647,17.647,19.513,1,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,No,It is a policy of segregation ,It is being prejudiced towards Jewish people ,Female,,South Carolina,White,,Not Hispanic or Latino or Spanish origin,29,"Professional degree (JD, MD)",Roman Catholic,,Strong Republican,29,2,23,1,1,8,10,3,3
Somewhat Disagree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,41.847,41.847,44.125,1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,I'd like to write a letter in opposition of Israel,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Not at all antisemitic,Yes,Yes,No,No,It’s when one ethnic group carries systematic atrocities against another group.,Prejudice against Jewish people for no other reason than their religion.,Male,,Kentucky,White,,Not Hispanic or Latino or Spanish origin,69,Bachelor's degree in college (4-year),Protestant,,Strong Democrat,69,1,19,1,1,8,1,3,5
Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2,1,1,1,4,10,1,
Somewhat Disagree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,58.335,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,Yes,No,"Apartheid is discrimination based on a category of people, like race.",Antisemitism is discrimination against Jews.,Female,,Virginia,White,,Not Hispanic or Latino or Spanish origin,49,Bachelor's degree in college (4-year),Protestant,,Independent,49,2,22,1,1,8,4,3,5
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2,1,1,1,4,7,1,
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,2.527,32.422,33.537,3,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,I'd like to write a letter in opposition of Israel,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all antisemitic,Yes,Yes,Yes,Yes,apartheid was a system of institutionalised racial segregration.,is prejudice towards or discrimination,Male,,California,White,,Not Hispanic or Latino or Spanish origin,30,Bachelor's degree in college (4-year),Muslim,,Democrat,33,1,24,1,1,7,1,4,3
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,1.88,19.083,29.339,4,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very antisemitic,Yes,No,No,No,Racial segregation,Hostility against jews,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,48,Bachelor's degree in college (4-year),Nothing in particular,,Strong Democrat,48,2,14,1,1,6,1,3,2
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Agree strongly,1.579,1.579,59.237,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,No,Yes,Yes,Still a little unsure ,Working to help,Female,,Wisconsin,White,,Not Hispanic or Latino or Spanish origin,43,Some college but no degree,Nothing in particular,,Republican,43,2,13,1,1,4,9,2,6
Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,3.739,11.486,15.964,12,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No letter,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,No,No,I really can't describe it.  Differential to a culture or people.,Discrimination ,Male,,California,White,,Not Hispanic or Latino or Spanish origin,62,Bachelor's degree in college (4-year),Roman Catholic,,Strong Democrat,62,1,20,1,1,8,1,4,3
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,53.581,0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,No letter,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all antisemitic,Yes,Yes,Yes,Yes,"Keeping an ethnic or specific people subordinate to another people by not allowing them participation in governing a country and denying them certain rights such as voting, owning property, etc.","Hate and distrust of Semetic people, namely Jewish people.",Female,,Nebraska,White,,Not Hispanic or Latino or Spanish origin,67,Some college but no degree,Protestant,,Strong Democrat,67,2,8,1,1,4,1,2,7
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,8.646,42.662,94.08,3,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,No letter,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Very antisemitic,Yes,Yes,Yes,Yes,Discrimination of color and ethical background ,Prejudice and hostilities ,Female,,North Carolina,White,,Not Hispanic or Latino or Spanish origin,49,Some college but no degree,Other,Christian ,Independent,49,2,1,1,1,4,3,3,7
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,38.299,38.299,40.987,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,No,Having amnesty for all,No amnesty for any body,Male,,New Jersey,White,,Not Hispanic or Latino or Spanish origin,64,Some college but no degree,Nothing in particular,,Republican,64,1,2,1,1,6,9,1,6
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,1,1,1,8,4,2,
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,2.608,5.877,6.4,3,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No letter,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Not very antisemitic,Yes,Yes,Yes,Yes,Segregation,Not liking Jewish people. Treating them with anger,Female,,Alabama,White,,Not Hispanic or Latino or Spanish origin,57,Associate degree in college (2-year),Other,Christianity,Republican,57,2,19,1,1,5,10,3,6
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,5.834,7.075,10.486,2,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,No,No,No,No,Segregation ,Hostility against Jews,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,46,Bachelor's degree in college (4-year),Roman Catholic,,Independent,46,2,4,1,1,6,4,3,1
Somewhat Agree,Agree strongly,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,1,2,1,2,3,3,
Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0,0,62.074,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,No letter,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,No,No,not entirely sure but it seems like it is the domination of others,antisemitism is the put down of a race of people to talk out against the race of people,Female,,Illinois,White,,Not Hispanic or Latino or Spanish origin,61,Associate degree in college (2-year),Protestant,,"Independent, but Lean Democrat",61,2,1,1,1,7,3,2,5
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Disagree strongly,Agree strongly,0,0,8.568,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,No,No,No,No,NA,NA,Female,,South Carolina,White,,Not Hispanic or Latino or Spanish origin,58,High school graduate (high school diploma or equivalent including GED),Other,Baptist,Republican,84,2,1,1,1,2,10,3,1
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,2.465,2.465,59.16,1,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,No,Yes,No,Systemic suppression of one group by another.,Hatred of the Jewish people,Female,,New Jersey,White,,Not Hispanic or Latino or Spanish origin,46,Bachelor's degree in college (4-year),Other,,Democrat,46,2,20,1,1,6,3,1,3
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,0,0,8.119,0,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Not at all antisemitic,No,No,No,No,Don't know this word,no answer,Female,,Oregon,White,,Not Hispanic or Latino or Spanish origin,64,Bachelor's degree in college (4-year),Protestant,,Republican,64,2,11,1,1,6,8,4,5
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1,17,1,1,1,1,2,
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,5,1,1,7,2,1,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,25.833,40.715,51.506,3,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not very antisemitic,Yes,Yes,No,No,Division of people or group not based on race,Prejudice against jews,Female,,Florida,Other,Hispanic,Hispanic or Latino or Spanish origin,33,"Professional degree (JD, MD)",Other,Catholic ,"Independent, but Lean Democrat",33,2,21,15,14,8,3,3,5
Agree strongly,Disagree strongly,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,5.521,31.631,112.186,2,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,I'd like to write a letter in support of Israel,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Very antisemitic,Yes,Yes,Yes,Yes,N/A,N/A,Male,,New York,White,,Not Hispanic or Latino or Spanish origin,30,Master's degree,Roman Catholic,,Strong Democrat,31,1,21,1,1,7,1,1,6
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,6.62,6.62,7.175,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,No,No,No,No,I don't know,I don't know,Female,,New York,White,,Not Hispanic or Latino or Spanish origin,70,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Republican,70,2,14,1,1,4,9,1,1
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,9,2,1,2,4,1,
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,0,0,60.913,0,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all antisemitic,Yes,No,No,No,Segregation,Being against the Hebrew religion and Jewish people and beliefs,Female,,Louisiana,White,,Not Hispanic or Latino or Spanish origin,38,Bachelor's degree in college (4-year),Protestant,,"Independent, but Lean Republican",38,2,17,1,1,6,5,3,2
Agree strongly,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,2.199,4.575,5.958,4,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,I'd like to write a letter in support of Israel,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,,Yes,Yes,Yes,Yes,Not sure ,Against a certain people ,Female,,Georgia,White,,Not Hispanic or Latino or Spanish origin,66,Bachelor's degree in college (4-year),Protestant,,Strong Republican,66,2,8,1,1,8,10,3,1
Somewhat Agree,Disagree strongly,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,41.579,0,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,No letter,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,No,"I've heard that word many times before, but truly have no real understanding as to what it means.",Against Jews.  ,Female,,Pennsylvania,White,,Not Hispanic or Latino or Spanish origin,65,High school graduate (high school diploma or equivalent including GED),Protestant,,Strong Republican,65,2,14,1,1,4,10,1,3
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,6.187,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not very antisemitic,Yes,Yes,No,No,crimes against a certain group,hate for jews,Male,,New Jersey,White,,Not Hispanic or Latino or Spanish origin,32,Bachelor's degree in college (4-year),Roman Catholic,,Democrat,32,1,11,1,1,6,1,1,2
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,16.539,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not at all antisemitic,Yes,No,No,No,forced oppression by authorities,Being prejudice against Jewish people.,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,69,Bachelor's degree in college (4-year),Atheist/agnostic,,"Independent, but Lean Republican",69,2,6,1,1,8,9,3,2
Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,35.706,0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not very antisemitic,Yes,Yes,No,Yes,treating another race poorly separating another race,unfair treatment of  jews,Female,,Ohio,White,,Not Hispanic or Latino or Spanish origin,59,Bachelor's degree in college (4-year),Roman Catholic,,Strong Republican,59,2,16,1,1,8,10,2,7
